"Title"
"Bass Lab Jazz"
"Arrangement avancé jazz I"
"Concepts d'harmonisation "
"Admissions Pré-HEM"
"MAO I A (Jazz)"
"Cours de Pratique corporelle VS"
"Cours Analyse 1 VS"
"Cours Analyse 2 VS"
"Cours Harmonie-contrepoint 2A VS"
"Cours Harmonie-contrepoint 2B VS"
"Cours d'Histoire de la Musique 1 VS"
"Cours d'Histoire de la Musique 2 VS"
"Cours de Synthèse VS"
"Examens pratiques - Master de pédagogie VD"
"Masterclass planification 2025-2026"
"Admissions Conservatoire"
"Grand Récital - Septembre 2025"
"Section de soufflants"
"MAO I B (Jazz)"
"Histoire du jazz"
"Séminaire de direction d'orchestre DIR01 - Beethoven"
"Duos de guitare"
"Cours Option Préparation aux concours d'orchestre VS"
"Cours Option Corps 1er Instrument VS"
"Phonétique 1 FR"
"Examens pratiques - Master de pédagogie - Jazz/MUA 2025-2026"
"Examens pratiques - Master de pédagogie - Jazz/MUA 2024-2025"
"Gestion de la charge mentale et planification VS"
"Hygiène de vie et besoins fondamentaux pour une santé durable et performance saine VS"
"Examens rythmique Musec VD"
"Examen chant Musec VD"
"Examens compléments Hep chant Musec VD"
"Examen Instrument principal Musec VD"
"Examen accompagnement clavier cl Musec"
"Piano complémentaire VS"
"Cours Improvisation BA3 VS"
"Harmonie & Contrepoint 2 - Grp B FR"
"Examen Direction chorale Musec VD"
"Atelier lyrique - auditions de rentrée"
"Cours de Solfège 2 VS"
"Best of Wine - Tourisme suisse"
"Examens Conservatoire"
"Module d'ouverture Musique de film et médias"
"Examens violon VD"
"Songwriting camp MUA (BA II)"
"Songwriting camp MUA (BA III)"
"Ateliers de chant avec Marina Viotti"
"Performing classes"
"Cours Option Pose de voix FR"
"Soutenances TMA VD"
"Soutenances TBA VD"
"Epreuve Orale TMAP 2026"
"Examens pratiques - Master de pédagogie VD"
"Remise de diplômes de la Haute école de santé Fribourg"
"Histoire de la musique 1 FR"
"MO Direction d'ensemble à vents"
"Examens certificat supérieur"
"Harmonie & Contrepoint 1 - Grp A FR"
"Recherche TMA MAC et MAOrch 1 - FR"
"Cours de Développement Personnel FR"
"Cours option Introduction à la pratique du Jazz VD "
"Module d'ouverture Composition"
"LausSol"
"Examen accompagnement clavier cl Musec"
"Cours acoustique FR"
"MUSEC (VD) journée didactique HEP"
"Atelier lyrique - semestre 1 - groupe de Marc Mayoraz"
"Atelier lyrique - semestre 1 - groupe de Renaud Berger"
"Atelier lyrique - semestre 1 - groupe de Thierry PIllon"
"Concert symphonique d’automne himanshu"
